"name","icao","iata","coordinates","cityName","countryName","airport"
"Larnaca International Airport","LCLK","LCA","34.875475 33.624773","Larnaca","Cyprus","http://fr.dbpedia.org/resource/Aéroport_international_de_Larnaca"
,"ORER","EBL","36.237974 43.963037","Erbil",,"http://fr.dbpedia.org/resource/Aéroport_international_d'Erbil"
"San Sebastián Airport","LESO","EAS","43.356561 -1.790578","San Sebastián",,"http://fr.dbpedia.org/resource/Aéroport_de_Saint-Sébastien"
"Bologna Guglielmo Marconi Airport","LIPE","BLQ","44.32 11.18","Bologna","Italy","http://fr.dbpedia.org/resource/Aéroport_de_Bologne-Borgo_Panigale"
"Homestead Air Reserve Base","KHST","HST","25.488491 -80.383701",,,"http://fr.dbpedia.org/resource/Homestead_Air_Reserve_Base"
,"UACC","TSE","51.023689 71.466579","Astana","Kazakhstan","http://fr.dbpedia.org/resource/Aéroport_international_d'Astana"
"Tashkent International Airport","UTTT","TAS","41.258001 69.281116","Tashkent",,"http://fr.dbpedia.org/resource/Aéroport_international_de_Tachkent"
"Dushanbe Airport","UTDD","DYU","38.543534 68.825054","Dushanbe","Tajikistan","http://fr.dbpedia.org/resource/Aéroport_international_de_Douchanbé"
,"LFHS","XBK","46.205555555555556 5.291666666666667","Bourg-en-Bresse","France","http://fr.dbpedia.org/resource/Aérodrome_de_Bourg_-_Ceyzériat"
,"LFHS","XBK","46.205555555555556 5.291666666666667","Ceyzériat","France","http://fr.dbpedia.org/resource/Aérodrome_de_Bourg_-_Ceyzériat"
"Château-Thierry – Belleau Aerodrome","LFFH","XCY","49.06666666666667 3.3555555555555556","Château-Thierry","France","http://fr.dbpedia.org/resource/Aérodrome_de_Château-Thierry_-_Belleau"
,"LFHY","XMU","46.534444444444446 3.421666666666667","Moulins, Allier","France","http://fr.dbpedia.org/resource/Aérodrome_de_Moulins_-_Montbeugny"
"Vichy – Charmeil Airport","LFLV","VHY","46.17166666666667 3.404166666666667","Vichy","France","http://fr.dbpedia.org/resource/Aéroport_de_Vichy_-_Charmeil"
